station,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,vp,vp_source,vp_deficit,vp_deficit_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,radiation,radiation_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,mslp,mslp_source,metadata
66098,2010-01-21,    0.0,0, 29.8,25, 18.6,25, 22.1,25, 13.5,26,  7.6,25,  7.9,26,  7.6,25, 8.7,26, 32.2,42, 52.7,26,100.0,26,  6.3,26,  7.2,26, 8.2,26, 8.7,26, 8.5,26,1012.3,25,""
66098,2010-01-22,    0.0,0, 32.9,25, 21.7,25, 24.2,25, 18.5,26, 11.4,25,  8.4,26, 11.4,25, 9.0,26, 31.3,42, 48.4,26, 93.3,26,  6.9,26,  8.1,26, 7.7,26, 9.8,26, 8.8,26,1013.6,25,""
66098,2010-01-23,    0.0,0, 40.9,25, 23.7,25, 13.2,25, 48.2,26,  8.8,25, 11.1,26,  8.8,25, 6.2,26, 20.6,42, 17.1,26, 45.1,26,  7.5,26, 10.6,26, 0.0,26,12.2,26, 6.1,26,1007.5,25,""
66098,2010-01-24,    5.2,0, 22.8,25, 18.1,25, 20.9,25,  4.9,26,  3.6,25,  2.9,26,  3.6,25, 2.9,26, 10.4,42, 75.3,26,100.0,26,  2.3,26,  2.6,26, 2.8,26, 2.9,26, 2.9,26,1016.7,25,""
66098,2010-01-25,    0.2,0, 25.9,25, 19.4,25, 22.2,25,  8.1,26,  3.7,25,  4.7,26,  3.7,25, 5.0,26, 18.7,42, 66.5,26, 98.6,26,  3.8,26,  4.4,26, 4.6,26, 5.2,26, 4.9,26,1014.9,25,""
66098,2010-01-26,    0.0,0, 28.5,25, 22.2,25, 26.4,25,  9.1,26,  6.6,25,  6.4,26,  6.6,25, 7.8,26, 27.8,42, 67.9,26, 98.7,26,  5.4,26,  6.0,26, 7.6,26, 7.6,26, 7.6,26,1010.8,25,""
66098,2010-01-27,    0.0,0, 25.9,25, 22.4,25, 22.6,25,  9.1,26,  3.5,25,  4.0,26,  3.5,25, 4.2,26, 13.9,42, 67.6,26, 83.5,26,  3.4,26,  4.2,26, 3.2,26, 5.1,26, 4.2,26,1015.1,25,""
66098,2010-01-28,    0.2,0, 26.2,25, 22.1,25, 24.0,25,  8.0,26,  3.0,25,  3.7,26,  3.0,25, 3.8,26, 12.7,42, 70.6,26, 90.3,26,  3.1,26,  3.7,26, 3.2,26, 4.4,26, 3.8,26,1012.1,25,""
66098,2010-01-29,    3.2,0, 27.9,25, 19.3,25, 22.0,25, 11.1,26,  6.9,25,  6.8,26,  6.9,25, 7.4,26, 28.2,42, 58.6,26, 98.3,26,  5.4,26,  6.2,26, 7.0,26, 7.5,26, 7.2,26,1008.5,25,""
66098,2010-01-30,    2.6,0, 26.4,25, 20.5,25, 20.8,25, 10.7,26,  4.4,25,  5.5,26,  4.4,25, 5.5,26, 20.9,42, 60.4,26, 86.3,26,  4.5,26,  5.3,26, 4.5,26, 6.3,26, 5.4,26,1018.7,25,""
