station,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,vp,vp_source,vp_deficit,vp_deficit_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,radiation,radiation_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,mslp,mslp_source,metadata
86304,2010-01-21,    0.0,0, 28.1,25, 15.6,25, 14.8,25, 16.8,26,  6.1,25,  6.4,26,  6.1,25, 6.2,26, 25.5,42, 38.9,26, 83.6,26,  5.6,26,  7.0,26, 4.0,26, 8.1,26, 6.0,26,1011.9,25,""
86304,2010-01-22,    0.0,0, 36.6,25, 18.5,25, 16.2,25, 31.5,26,  8.3,25,  6.2,26,  8.3,25, 3.5,26, 10.4,42, 26.4,26, 76.1,26,  5.1,26,  7.3,26, 0.2,26, 6.8,26, 3.5,26,1005.6,25,""
86304,2010-01-23,    0.0,0, 21.7,25, 16.1,25, 13.6,25, 10.2,26,  5.4,25,  5.7,26,  5.4,25, 6.1,26, 26.6,42, 52.4,26, 74.4,26,  4.9,26,  5.9,26, 4.6,26, 7.2,26, 5.9,26,1012.8,25,""
86304,2010-01-24,    0.0,0, 22.2,25,  9.1,25, 11.4,25, 10.5,26,  5.3,25,  5.8,26,  5.3,25, 5.6,26, 26.5,42, 42.6,26, 98.7,26,  4.6,26,  5.6,26, 4.5,26, 6.4,26, 5.5,26,1016.2,25,""
86304,2010-01-25,    0.0,0, 23.8,25, 11.2,25, 12.6,25, 11.7,26,  5.7,25,  6.8,26,  5.7,25, 7.2,26, 31.7,42, 42.8,26, 94.8,26,  5.4,26,  6.5,26, 6.1,26, 7.9,26, 7.0,26,1014.9,25,""
86304,2010-01-26,    0.0,0, 24.5,25, 11.1,25, 14.7,25, 10.4,26,  6.2,25,  6.0,26,  6.2,25, 6.3,26, 27.9,42, 47.8,26,100.0,26,  4.8,26,  5.7,26, 5.8,26, 6.6,26, 6.2,26,1011.3,25,""
86304,2010-01-27,    1.0,0, 22.2,25, 15.6,25, 11.6,25, 12.6,26,  5.8,25,  6.2,26,  5.8,25, 6.4,26, 28.2,42, 43.4,26, 65.5,26,  5.3,26,  6.5,26, 4.2,26, 8.2,26, 6.2,26,1016.4,25,""
86304,2010-01-28,    0.0,0, 25.4,25, 14.8,25, 14.8,25, 12.9,26,  4.8,25,  6.0,26,  4.8,25, 6.1,26, 26.0,42, 45.6,26, 88.0,26,  5.1,26,  6.2,26, 4.6,26, 7.3,26, 5.9,26,1010.6,25,""
86304,2010-01-29,    0.0,0, 23.0,25, 17.0,25, 15.2,25, 10.4,26,  6.6,25,  5.5,26,  6.6,25, 5.9,26, 25.1,42, 54.1,26, 78.5,26,  4.8,26,  5.7,26, 4.5,26, 7.0,26, 5.7,26,1014.7,25,""
86304,2010-01-30,    0.0,0, 35.7,25, 11.7,25, 13.0,25, 28.7,26,  8.0,25,  9.4,26,  8.0,25, 7.8,26, 31.4,42, 22.2,26, 94.6,26,  7.5,26,  9.9,26, 4.5,26,10.8,26, 7.7,26,1016.2,25,""
